250020025-4,4,Rue des Combes,25440,Abbans-Dessus,OSM,47.112528,5.875729
250020025-6,6,Rue des Combes,25440,Abbans-Dessus,OSM,47.11241,5.875459
250020025-8,8,Rue des Combes,25440,Abbans-Dessus,OSM,47.112359,5.874933
250020029-1,1,Rue des Favorges,25440,Abbans-Dessus,OSM,47.112128,5.875997
250020029-2,2,Rue des Favorges,25440,Abbans-Dessus,OSM,47.113266,5.876513
250020029-3,3,Rue des Favorges,25440,Abbans-Dessus,OSM,47.111808,5.875982
250020029-4,4,Rue des Favorges,25440,Abbans-Dessus,OSM,47.112919,5.87632
250020029-5,5,Rue des Favorges,25440,Abbans-Dessus,OSM,47.111563,5.87604
250020029-6,6,Rue des Favorges,25440,Abbans-Dessus,OSM,47.112374,5.87586
250020029-7,7,Rue des Favorges,25440,Abbans-Dessus,BAN,47.11113,5.876047
250020029-8,8,Rue des Favorges,25440,Abbans-Dessus,OSM,47.112075,5.875878
250020030-1,1,Impasse des Granges,25440,Abbans-Dessus,OSM,47.120066,5.881364
250020030-2,2,Impasse des Granges,25440,Abbans-Dessus,OSM,47.120469,5.881399
250020030-4,4,Impasse des Granges,25440,Abbans-Dessus,OSM,47.120291,5.881373
250020031-1,1,Chemin de la Grande Fin,25440,Abbans-Dessus,OSM,47.119443,5.882109
250020033-1,1,Rue des Jardins,25440,Abbans-Dessus,OSM,47.120574,5.882239
250020033-2,2,Rue des Jardins,25440,Abbans-Dessus,OSM,47.120503,5.882325
250020035-1,1,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.117779,5.880572
250020035-10,10,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.120024,5.881752
250020035-12A,12A,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.120108,5.881756
250020035-12B,12B,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.120178,5.881763
250020035-12C,12 c,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,BAN,47.12025,5.881781
250020035-13,13,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.119683,5.881511
250020035-14,14,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.121898,5.88227
250020035-15,15,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.119739,5.881545
250020035-16,16,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.122045,5.882318
250020035-17,17,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.11982,5.881602
250020035-19,19,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.119883,5.881597
250020035-2,2,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,BAN,47.118452,5.881449
250020035-21,21,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.120014,5.881653
250020035-23,23,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.120121,5.881687
250020035-24,24,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,BAN,47.124459,5.883542
250020035-25,25,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,BAN,47.120314,5.882092
250020035-27,27,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.120489,5.881751
250020035-29,29,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.120661,5.881792
250020035-2A,2A,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.11833,5.881158
250020035-2B,2B,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.118458,5.881187
250020035-2C,2 c,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,BAN,47.118292,5.881426
250020035-2D,2 d,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,BAN,47.118292,5.881426
250020035-3,3,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.117976,5.880792
250020035-31,31,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.120766,5.881808
250020035-33,33,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.121912,5.882202
250020035-35,35,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,BAN,47.122407,5.884034
250020035-39,39,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.122929,5.882571
250020035-41,41,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,BAN,47.12334,5.884203
250020035-43,43,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.124231,5.883198
250020035-45,45,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.123877,5.883005
250020035-47,47,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.124367,5.883334
250020035-49,49,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.125078,5.883831
250020035-5,5,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.118351,5.881016
250020035-6,6,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.118846,5.881279
